Tanggal,Keterangan,Jumlah,Bank,Cabang
09/24/2012,SETORAN KLIRING #WARKAT L:01 I:00 NANDA NINDI ( 3546 ),20000000.00 ,BCA,8115
09/24/2012,SETORAN KLIRING #WARKAT L:01 I:00 SS JAYA (3502),20000000.00 ,BCA,8115
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 INDOMAS(3305-3315-3386),750000.00 ,BCA,8115
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 RIZKINTA(03431),20125000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 SINAR JAYA(03611),20000000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:01 I:00 MAJU JAYA(03375),20250000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 KARUNIA JAYA(03392),20000000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 KARUNIA JAYA(03461),20000000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 SINAR TERANG(03291),20750000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 MANDIRI JAYA(03394),20100000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 HARAPAN JAYA(03459),10000000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 SUBUR(03432),20000000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 INDOMAS(03485),20125000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 INDOMAS(03424),20125000.00 ,BCA,8285
09/24/2012,SETORAN KLIRING #WARKAT L:00 I:01 PELITA(03640),20000000.00 ,BCA,8285
09/24/2012,SETORAN TUNAI PL.BERKAT USAHA 1500 SAK PL.B.U.T,62550000.00 ,BCA,8235
09/24/2012,TRSF E-BANKING CR 09/24 80451 SEMEN 500SAK AFD 5JANJI RITONGA M ALI WARDANA RITO,21500000.00 ,BCA,0000
09/24/2012,SETORAN TUNAI JAMILAH SEMEN 500SAK PLINDAH PUTRA JA YA 7284 KSR,15000000.00 ,BCA,0297
09/24/2012,SETORAN TUNAI JAMILAH SEMEN 500SAK PLSETIA BUDI BAG AN DALAM KSR,20000000.00 ,BCA,0297
09/24/2012,TRSF E-BANKING CR 24/09WSID:09121 LIM KIM KAI ,20000000.00 ,BCA,0000
09/24/2012,SETORAN TUNAI JAMILAH SEMEN 500SAK PLANTARA JAYA 03 511 KSR,20125000.00 ,BCA,0297
09/24/2012,SETORAN TUNAI JAMILAH SEMEN 500SAK PLARGO SUKSES MA NDIRI 02906 KSR,10000000.00 ,BCA,0297
09/24/2012,KR OTOMATIS BANK MESTIKA MEDHIDS1/011148TJIO TJIN TJAI/CAN ,118500000.00 ,BCA,0998
09/24/2012,SETORAN TUNAI BAKRI CV ANUGRAH JAYAKSR,20250000.00 ,BCA,0297
09/24/2012,SETORAN TUNAI MDN UD.ANUGRAH(BADDEBT) SOPAN KARYA(BADDEBT) ,3000000.00 ,BCA,8115
09/24/2012,SETORAN TRSF DR 8285002318 UD UTAMA BANGUNAN,197500000.00 ,BCA,8285
09/24/2012,SETORAN TUNAI ,20250000.00 ,BCA,8075
09/24/2012,KR OTOMATIS LLG-PANIN MEDAN NETTY MENETTA BR SPEMBAYARAN INVOICE 02764,20000000.00 ,BCA,0965
09/24/2012,SETORAN TUNAI ,20200000.00 ,BCA,8430
