Tanggal,Keterangan,Jumlah,Bank,Cabang
10/02/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG TTPAN  SS JAYA(3701)  ,20000000.00 ,BCA,8115
10/02/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG TTPAN PERMA  TA INDAH(3741)  ,20000000.00 ,BCA,8115
10/02/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG TTPAN  SUBUR BARU 3528  ,19750000.00 ,BCA,8115
10/02/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG TTPAN  HAN JAYA(3689)  ,20000000.00 ,BCA,8115
10/02/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG UD.SABAR  MULIA(03732)  ,20000000.00 ,BCA,8115
10/02/2012,SETORAN KLIRING #WARKAT L:00 I:01 INDOMAS 03625 ,20125000.00 ,BCA,8285
10/02/2012,SETORAN KLIRING #WARKAT L:00 I:01 MANDIRI JAYA  03617  ,20125000.00 ,BCA,8285
10/02/2012,SETORAN KLIRING #WARKAT L:01 I:00 ABANG ADEK  03599  ,20000000.00 ,BCA,8285
10/02/2012,SETORAN KLIRING #WARKAT L:01 I:00 IMMANUEL 03428 ,20250000.00 ,BCA,8285
10/02/2012,SETORAN KLIRING #WARKAT L:00 I:01 RIZKINTA 03630 ,20125000.00 ,BCA,8285
10/02/2012,SETORAN TUNAI PARISAL DLM 500SAK PL LARIS  JAYA AN.H SAIMIN  ,21500000.00 ,BCA,8235
10/02/2012,SETORAN TUNAI PARISAL DLM STSA PBYRN PL.A  BANG ADIK  ,5000000.00 ,BCA,8235
10/02/2012,SETORAN TUNAI EDY SUWANTO PBYRN INV NO 03641 DR REZEKI M AKMUR TG BALAI  ,20000000.00 ,BCA,0052
10/02/2012,KR OTOMATIS LLG-MESTIKA DHARMA SHELLY  PEMBAYARAN 500 SAK SEMEN PANTARA 036  ,40000000.00 ,BCA,0965
10/02/2012,SETORAN WAHIDAH SINAR JAYA  (03755)  ,20000000.00 ,BCA,8285
10/02/2012,TRSF E-BANKING CR 0210/FTSCY/WS95011 20000000.00  ud bangun sari DAHNIAR  ,20000000.00 ,BCA,0000
10/02/2012,SETORAN TUNAI SUDIRMAN TJB,20000000.00 ,BCA,0052
10/02/2012,KR OTOMATIS LLG-BPD SUMUT MEDA UD FAUZAR  ,20250000.00 ,BCA,0965
