Tanggal,Keterangan,Jumlah,Bank,Cabang
09/27/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG TTPAN TOTALMANDIRI(B.DO),400000000.00 ,BCA,8115
09/27/2012,SETORAN KLIRING #WARKAT L:00 I:01 KLG TTPAN UD.TANI JAYA(3254),20125000.00 ,BCA,8115
09/27/2012,SETORAN KLIRING #WARKAT L:00 I:01 MANDIRI JAYA (03473),20100000.00 ,BCA,8285
09/27/2012,SETORAN KLIRING #WARKAT L:00 I:01 INDOMAS (03518),20125000.00 ,BCA,8285
09/27/2012,TRSF E-BANKING CR 2709/FTSCY/WS95011 18500000.00Do 3000 sak RAMAWATY,18500000.00 ,BCA,0000
09/27/2012,TRSF E-BANKING CR 2709/FTSCY/WS95011 100000000.00DO 3000 SAk RAMAWATY,100000000.00 ,BCA,0000
09/27/2012,SETORAN WAHIDAH TUNAS FAMILY(03619),20000000.00 ,BCA,8285
09/27/2012,SETORAN TUNAI EDY SUWANTO PEMB UANG SEMENNO INV 03533 DR REZEKI MAKMURTJB ,20000000.00 ,BCA,0052
09/27/2012,SETORAN TUNAI IDWAN MEGA BLOK(6451)BERKAT BARU (3310),21500000.00 ,BCA,8115
09/27/2012,KR OTOMATIS LLG-MANDIRI KPO JK EDI WANGPT GUNUNG PANTARA BARISAN PT. BANK C,10000000.00 ,BCA,0965
09/27/2012,KR OTOMATIS LLG-BPD SUMUT MEDA RONAL,23100000.00 ,BCA,0965
09/27/2012,KR OTOMATIS LLG-SYARIAH MANDIR FEBRINA SIONADER ,20250000.00 ,BCA,0965
