Tanggal,Keterangan,Jumlah,Bank,Cabang
10/03/2012,SETORAN KLIRING #WARKAT L:00 I:01 STR KLG TTPAN  MANDIRI KABANJA  ,60375000.00 ,BCA,8115
10/03/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG TTPAN PERMA  TA INDAH(3821)  ,20000000.00 ,BCA,8115
10/03/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG TTPAN DO 70  83 SIGMA BLOCK  ,20000000.00 ,BCA,8115
10/03/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG CAHA MITRA  ABADI(3280)  ,20150000.00 ,BCA,8115
10/03/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG TTPAN KENCA  NA AGUNG(BL.DO)  ,118500000.00 ,BCA,8115
10/03/2012,SETORAN KLIRING #WARKAT L:01 I:00 KLG USAHA MAKMU  R(03322-03462)  ,40000000.00 ,BCA,8115
10/03/2012,SETORAN KLIRING #WARKAT L:00 I:01 KLG TTPAN MAJU  JAYA(03375)  ,20250000.00 ,BCA,8115
10/03/2012,SETORAN KLIRING #WARKAT L:00 I:01 SERBA JADI  (03742)  ,20000000.00 ,BCA,8285
10/03/2012,SETORAN KLIRING #WARKAT L:00 I:01 SERBA JADI  (03743)  ,20000000.00 ,BCA,8285
10/03/2012,SWITCHING CR TRANSFER   DR 013 IRWAN LESMANA GINT  PERMATA  ,10000000.00 ,BCA,0998
10/03/2012,SWITCHING CR TRANSFER   DR 013 IRWAN LESMANA GINT  PERMATA  ,10000000.00 ,BCA,0998
10/03/2012,SWITCHING CR TRANSFER   DR 013 IRWAN LESMANA GINT  PERMATA  ,1500000.00 ,BCA,0998
10/03/2012,TRSF E-BANKING CR 0310/FTSCY/WS95011 20000000.00  ud bangun sari DAHNIAR  ,20000000.00 ,BCA,0000
10/03/2012,SETORAN TUNAI ABDUL KADIR SEMEN 500 SAK P  L JASA LAUT  ,20250000.00 ,BCA,8285
10/03/2012,SETORAN TUNAI ABDUL K DR JAMILAH  PL NINO UJUNG K UBU SEMEN 500 S  AK ,20000000.00 ,BCA,8285
10/03/2012,KR OTOMATIS LLG-DANAMON KEBON EDY ANTO  Duniaco (03624.03639.03638)  ,60000000.00 ,BCA,0965
10/03/2012,SETORAN TUNAI SUNGGUL RINALDI UTK PEMBAYARAN  SEMEN PANTARA  ,20000000.00 ,BCA,8000
10/03/2012,SETORAN TUNAI UD BANI   ,3000000.00 ,BCA,8255
10/03/2012,SETORAN TUNAI IDWAN MANDIRI JAYA (3311.3394.3473)  ,75000.00 ,BCA,8115
10/03/2012,KR OTOMATIS LLG-MESTIKA DHARMA SAUDARA JAYA / EKO  BCA K.TANJUNG   ,20000000.00 ,BCA,0965
10/03/2012,SETORAN TUNAI UD.TAS   ,20000000.00 ,BCA,8200
10/03/2012,SETORAN TUNAI SARDJANA PANGLONG IQBAL  JAYA D/O 03464  ,20000000.00 ,BCA,8195
